2024-06-17, 16:32:56, 251,584MB
2024-06-17, 16:41:20, 361,652MB
2024-06-17, 16:41:20, 235,86MB
2024-06-17, 16:43:24, 235,86MB
2024-06-17, 16:43:24, 204,412MB
2024-06-17, 16:43:42, 220,136MB
2024-06-17, 16:43:42, 204,412MB
2024-06-17, 16:43:44, 235,86MB
2024-06-17, 16:43:44, 204,412MB
2024-06-17, 16:43:53, 235,86MB
2024-06-17, 16:43:53, 204,412MB
2024-06-17, 16:54:34, 251,584MB
2024-06-17, 16:54:34, 204,412MB
2024-06-17, 16:54:34, 157,24MB
2024-06-17, 16:54:34, 110,068MB
2024-06-17, 17:00:04, 267,308MB
2024-06-17, 17:00:04, 251,584MB
2024-06-17, 17:00:04, 157,24MB
2024-06-17, 17:02:31, 267,308MB
2024-06-17, 17:02:31, 251,584MB
2024-06-17, 17:02:31, 172,964MB
2024-06-17, 17:02:31, 110,068MB
2024-06-17, 17:02:40, 267,308MB
2024-06-17, 17:02:40, 251,584MB
2024-06-17, 17:02:40, 172,964MB
2024-06-17, 17:02:40, 125,792MB
2024-06-17, 17:02:47, 267,308MB
2024-06-17, 17:02:47, 251,584MB
2024-06-17, 17:02:47, 157,24MB
2024-06-17, 17:02:47, 110,068MB
